DrawDate,1,2,3,4,5,PB,PP*
Saturday 3/9/2024,30,36,49,52,63,16,5
Saturday 3/9/2024 - Double Play,41,43,49,55,67,20,
Wednesday 3/6/2024,6,19,28,44,60,10,2
Wednesday 3/6/2024 - Double Play,30,31,36,52,58,16,
Monday 3/4/2024,36,42,50,52,67,26,2
Monday 3/4/2024 - Double Play,3,19,29,53,59,4,
Saturday 3/2/2024,3,18,27,36,53,12,2
Saturday 3/2/2024 - Double Play,18,31,36,43,61,10,
Wednesday 2/28/2024,16,26,29,38,50,6,2
Wednesday 2/28/2024 - Double Play,14,38,41,47,67,7,
Monday 2/26/2024,24,29,42,51,54,16,3
Monday 2/26/2024 - Double Play,1,3,8,30,41,8,
Saturday 2/24/2024,3,8,40,53,58,3,3
Saturday 2/24/2024 - Double Play,5,6,16,34,35,17,
Wednesday 2/21/2024,4,27,33,41,42,14,2
Wednesday 2/21/2024 - Double Play,23,49,51,54,58,11,
Monday 2/19/2024,4,23,45,50,53,17,3
Monday 2/19/2024 - Double Play,9,18,30,47,63,14,
Saturday 2/17/2024,6,28,59,62,69,21,3
Saturday 2/17/2024 - Double Play,14,47,49,61,66,18,
Wednesday 2/14/2024,1,4,45,47,67,18,2
Wednesday 2/14/2024 - Double Play,33,40,45,48,53,17,
Monday 2/12/2024,17,36,43,53,67,14,2
Monday 2/12/2024 - Double Play,29,49,51,61,66,2,
Saturday 2/10/2024,27,28,34,37,44,8,2
Saturday 2/10/2024 - Double Play,12,15,32,50,64,15,
Wednesday 2/7/2024,12,21,62,67,69,17,3
Wednesday 2/7/2024 - Double Play,8,17,36,56,62,23,
Monday 2/5/2024,1,2,27,30,67,9,5
Monday 2/5/2024 - Double Play,1,7,35,52,54,20,
Saturday 2/3/2024,9,11,27,59,66,19,3
Saturday 2/3/2024 - Double Play,23,26,30,35,39,13,
Wednesday 1/31/2024,15,18,19,41,43,14,2
Wednesday 1/31/2024 - Double Play,13,15,18,21,58,25,
Monday 1/29/2024,39,41,43,49,64,4,2
Monday 1/29/2024 - Double Play,31,44,45,63,64,16,
Saturday 1/27/2024,7,38,65,66,68,21,2
Saturday 1/27/2024 - Double Play,4,28,34,50,61,16,
Wednesday 1/24/2024,1,5,32,50,64,8,4
Wednesday 1/24/2024 - Double Play,7,28,46,47,58,18,
Monday 1/22/2024,24,25,43,52,63,21,2
Monday 1/22/2024 - Double Play,17,31,34,54,63,13,
Saturday 1/20/2024,16,31,34,47,65,10,3
Saturday 1/20/2024 - Double Play,13,26,30,40,50,13,
Wednesday 1/17/2024,18,22,43,61,65,2,4
Wednesday 1/17/2024 - Double Play,14,38,51,53,55,25,
Monday 1/15/2024,13,30,35,49,59,4,3
Monday 1/15/2024 - Double Play,6,16,23,60,62,17,
Saturday 1/13/2024,13,31,33,51,58,15,2
Saturday 1/13/2024 - Double Play,30,41,44,55,58,17,
Wednesday 1/10/2024,25,40,43,48,50,11,2
Wednesday 1/10/2024 - Double Play,2,7,27,34,51,19,
Monday 1/8/2024,7,17,28,40,45,2,3
Monday 1/8/2024 - Double Play,3,38,55,57,62,17,
Saturday 1/6/2024,4,31,34,38,61,13,2
Saturday 1/6/2024 - Double Play,9,14,26,27,32,22,
Wednesday 1/3/2024,30,31,38,48,68,8,10
Wednesday 1/3/2024 - Double Play,8,9,17,31,56,23,
Monday 1/1/2024,12,21,42,44,49,1,3
Monday 1/1/2024 - Double Play,19,31,40,42,64,2,
Saturday 12/30/2023,10,11,26,27,34,7,4
Saturday 12/30/2023 - Double Play,1,4,5,6,42,8,
Wednesday 12/27/2023,4,11,38,51,68,5,3
Wednesday 12/27/2023 - Double Play,14,29,39,66,67,2,
Monday 12/25/2023,5,12,20,24,29,4,2
Monday 12/25/2023 - Double Play,2,3,19,31,42,9,
Saturday 12/23/2023,9,14,17,18,53,6,3
Saturday 12/23/2023 - Double Play,20,37,39,40,43,1,
Wednesday 12/20/2023,27,35,41,56,60,16,2
Wednesday 12/20/2023 - Double Play,22,25,28,30,53,3,
Monday 12/18/2023,5,8,19,34,39,26,3
Monday 12/18/2023 - Double Play,2,8,11,25,51,9,
Saturday 12/16/2023,3,9,10,20,62,25,3
Saturday 12/16/2023 - Double Play,9,39,41,46,65,3,
Wednesday 12/13/2023,3,8,41,56,64,18,2
Wednesday 12/13/2023 - Double Play,32,53,57,60,63,14,
Monday 12/11/2023,1,24,27,31,62,20,3
Monday 12/11/2023 - Double Play,10,12,27,40,65,4,
Saturday 12/9/2023,5,25,26,40,60,1,2
Saturday 12/9/2023 - Double Play,8,14,23,29,37,18,
Wednesday 12/6/2023,2,12,37,56,65,21,3
Wednesday 12/6/2023 - Double Play,3,23,27,67,68,9,
Monday 12/4/2023,18,19,27,28,45,9,3
Monday 12/4/2023 - Double Play,21,51,52,59,63,7,
Saturday 12/2/2023,28,35,41,47,60,3,2
Saturday 12/2/2023 - Double Play,6,32,37,42,67,25,
Wednesday 11/29/2023,6,47,50,61,68,4,2
Wednesday 11/29/2023 - Double Play,9,13,16,30,36,23,
Monday 11/27/2023,2,21,38,61,66,12,2
Monday 11/27/2023 - Double Play,9,29,51,53,61,20,
Saturday 11/25/2023,27,33,63,66,68,9,2
Saturday 11/25/2023 - Double Play,1,27,30,49,62,20,
Wednesday 11/22/2023,20,24,33,39,42,21,2
Wednesday 11/22/2023 - Double Play,20,21,30,55,56,14,
Monday 11/20/2023,19,26,30,39,63,13,2
Monday 11/20/2023 - Double Play,15,21,39,45,52,12,
Saturday 11/18/2023,34,50,51,61,67,20,2
Saturday 11/18/2023 - Double Play,27,32,40,45,47,8,
Wednesday 11/15/2023,3,4,51,53,60,6,3
Wednesday 11/15/2023 - Double Play,14,15,30,58,59,17,
Monday 11/13/2023,24,33,35,37,42,21,2
Monday 11/13/2023 - Double Play,13,14,20,67,69,14,
Saturday 11/11/2023,1,12,14,24,57,7,4
Saturday 11/11/2023 - Double Play,5,17,19,41,49,5,
Wednesday 11/8/2023,14,21,33,39,62,20,2
Wednesday 11/8/2023 - Double Play,5,20,22,27,63,18,
Monday 11/6/2023,12,25,40,59,61,26,2
Monday 11/6/2023 - Double Play,22,23,25,41,56,24,
Saturday 11/4/2023,1,28,30,34,52,6,2
Saturday 11/4/2023 - Double Play,5,15,22,47,66,26,
Wednesday 11/1/2023,22,26,39,47,63,12,3
Wednesday 11/1/2023 - Double Play,9,26,49,58,61,21,
Monday 10/30/2023,19,22,34,66,69,5,3
Monday 10/30/2023 - Double Play,1,4,8,11,66,10,
Saturday 10/28/2023,14,24,50,59,64,2,2
Saturday 10/28/2023 - Double Play,34,48,50,52,66,11,
Wednesday 10/25/2023,25,27,41,53,68,2,2
Wednesday 10/25/2023 - Double Play,18,19,38,54,55,17,
Monday 10/23/2023,18,21,25,46,64,21,5
Monday 10/23/2023 - Double Play,25,44,45,50,58,13,
Saturday 10/21/2023,6,15,24,67,68,11,2
Saturday 10/21/2023 - Double Play,7,18,27,33,61,5,
Wednesday 10/18/2023,1,4,13,35,58,24,2
Wednesday 10/18/2023 - Double Play,26,59,62,64,65,15,
Monday 10/16/2023,2,27,31,44,64,18,3
Monday 10/16/2023 - Double Play,1,2,15,17,34,1,
Saturday 10/14/2023,14,16,42,48,64,14,2
Saturday 10/14/2023 - Double Play,13,21,33,46,50,23,
Wednesday 10/11/2023,22,24,40,52,64,10,2
Wednesday 10/11/2023 - Double Play,3,40,51,59,66,2,
Monday 10/9/2023,16,34,46,55,67,14,3
Monday 10/9/2023 - Double Play,1,20,33,49,59,10,
Saturday 10/7/2023,47,54,57,60,65,19,3
Saturday 10/7/2023 - Double Play,13,31,51,55,66,23,
Wednesday 10/4/2023,9,35,54,63,64,1,2
Wednesday 10/4/2023 - Double Play,12,30,39,64,67,22,
Monday 10/2/2023,12,26,27,43,47,5,2
Monday 10/2/2023 - Double Play,11,26,35,40,43,24,
Saturday 9/30/2023,19,30,37,44,46,22,2
Saturday 9/30/2023 - Double Play,2,22,46,56,67,25,
Wednesday 9/27/2023,1,7,46,47,63,7,3
Wednesday 9/27/2023 - Double Play,10,25,51,52,63,1,
Monday 9/25/2023,10,12,22,36,50,4,2
Monday 9/25/2023 - Double Play,5,16,18,38,40,19,
Saturday 9/23/2023,1,12,20,33,66,21,2
Saturday 9/23/2023 - Double Play,14,16,26,41,57,24,
Wednesday 9/20/2023,16,27,59,62,63,23,3
Wednesday 9/20/2023 - Double Play,6,20,29,46,68,8,
Monday 9/18/2023,2,21,26,40,42,9,3
Monday 9/18/2023 - Double Play,3,7,41,48,67,14,
Saturday 9/16/2023,8,11,19,24,46,5,2
Saturday 9/16/2023 - Double Play,10,27,30,43,47,6,
Wednesday 9/13/2023,22,30,37,44,45,18,3
Wednesday 9/13/2023 - Double Play,3,12,28,58,62,24,
Monday 9/11/2023,9,25,27,53,66,5,2
Monday 9/11/2023 - Double Play,18,22,25,30,35,22,
Saturday 9/9/2023,11,19,29,63,68,25,2
Saturday 9/9/2023 - Double Play,33,38,42,64,65,20,
Wednesday 9/6/2023,9,14,20,23,63,1,3
Wednesday 9/6/2023 - Double Play,1,12,30,50,55,10,
Monday 9/4/2023,1,26,32,46,51,13,3
Monday 9/4/2023 - Double Play,1,29,45,47,51,7,
Saturday 9/2/2023,25,38,42,66,67,19,4
Saturday 9/2/2023 - Double Play,3,7,14,26,52,21,
Wednesday 8/30/2023,4,13,35,61,69,4,2
Wednesday 8/30/2023 - Double Play,2,10,45,46,59,2,
Monday 8/28/2023,4,6,25,55,68,26,2
Monday 8/28/2023 - Double Play,23,24,48,61,64,4,
Saturday 8/26/2023,20,22,26,28,63,5,3
Saturday 8/26/2023 - Double Play,1,19,54,63,64,15,
Wednesday 8/23/2023,25,30,32,33,55,20,2
Wednesday 8/23/2023 - Double Play,18,25,38,56,61,19,
Monday 8/21/2023,3,4,12,22,28,16,2
Monday 8/21/2023 - Double Play,1,13,19,49,66,7,
Saturday 8/19/2023,1,25,27,38,62,13,2
Saturday 8/19/2023 - Double Play,19,26,39,65,68,12,
Wednesday 8/16/2023,9,11,17,19,55,1,2
Wednesday 8/16/2023 - Double Play,15,22,44,49,63,26,
Monday 8/14/2023,32,34,37,39,47,3,2
Monday 8/14/2023 - Double Play,2,23,42,61,68,26,
Saturday 8/12/2023,19,21,37,50,65,26,2
Saturday 8/12/2023 - Double Play,10,26,27,48,52,12,
Wednesday 8/9/2023,10,15,21,67,69,3,2
Wednesday 8/9/2023 - Double Play,1,42,51,61,63,17,
Monday 8/7/2023,6,13,20,35,54,22,2
Monday 8/7/2023 - Double Play,26,29,37,49,63,22,
Saturday 8/5/2023,18,42,44,62,65,23,2
Saturday 8/5/2023 - Double Play,14,25,37,57,67,16,
Wednesday 8/2/2023,23,24,33,51,64,5,2
Wednesday 8/2/2023 - Double Play,5,23,30,62,63,9,
Monday 7/31/2023,2,11,48,58,65,13,2
Monday 7/31/2023 - Double Play,15,32,33,34,35,4,
Saturday 7/29/2023,10,25,27,34,38,2,3
Saturday 7/29/2023 - Double Play,10,23,27,62,65,15,
Wednesday 7/26/2023,3,16,40,48,60,14,2
Wednesday 7/26/2023 - Double Play,31,43,51,60,69,13,
Monday 7/24/2023,3,4,12,28,49,25,2
Monday 7/24/2023 - Double Play,3,6,32,58,68,25,
Saturday 7/22/2023,25,27,36,37,63,7,2
Saturday 7/22/2023 - Double Play,31,37,39,54,65,14,
Wednesday 7/19/2023,7,10,11,13,24,24,2
Wednesday 7/19/2023 - Double Play,13,15,28,43,57,25,
Monday 7/17/2023,5,8,9,17,41,21,4
Monday 7/17/2023 - Double Play,9,37,38,62,69,23,
Saturday 7/15/2023,2,9,43,55,57,18,2
Saturday 7/15/2023 - Double Play,12,21,23,37,52,19,
Wednesday 7/12/2023,23,35,45,66,67,20,3
Wednesday 7/12/2023 - Double Play,42,49,54,62,63,21,
Monday 7/10/2023,2,24,34,53,58,13,2
Monday 7/10/2023 - Double Play,21,30,37,41,56,14,
Saturday 7/8/2023,7,23,24,32,43,18,2
Saturday 7/8/2023 - Double Play,12,23,30,42,62,21,
Wednesday 7/5/2023,17,24,48,62,68,23,2
Wednesday 7/5/2023 - Double Play,10,19,47,50,53,26,
Monday 7/3/2023,15,26,31,38,61,3,3
Monday 7/3/2023 - Double Play,15,37,50,55,69,9,
Saturday 7/1/2023,4,17,35,49,61,8,2
Saturday 7/1/2023 - Double Play,13,24,49,54,60,17,
Wednesday 6/28/2023,19,25,34,57,68,4,5
Wednesday 6/28/2023 - Double Play,27,33,48,64,69,23,
Monday 6/26/2023,6,28,39,43,54,12,4
Monday 6/26/2023 - Double Play,14,20,23,31,54,19,
Saturday 6/24/2023,2,38,44,50,62,19,3
Saturday 6/24/2023 - Double Play,12,17,50,53,64,20,
Wednesday 6/21/2023,5,11,33,35,63,14,2
Wednesday 6/21/2023 - Double Play,15,18,23,45,48,10,
Monday 6/19/2023,36,39,52,57,69,1,3
Monday 6/19/2023 - Double Play,14,15,39,57,69,7,
Saturday 6/17/2023,2,12,45,61,64,26,2
Saturday 6/17/2023 - Double Play,8,12,21,33,51,14,
Wednesday 6/14/2023,3,20,36,42,64,4,2
Wednesday 6/14/2023 - Double Play,6,10,14,16,50,1,
Monday 6/12/2023,2,3,16,23,68,7,2
Monday 6/12/2023 - Double Play,9,15,22,54,64,19,
Saturday 6/10/2023,21,32,42,46,50,4,3
Saturday 6/10/2023 - Double Play,30,45,55,67,69,23,
Wednesday 6/7/2023,16,21,29,53,66,2,5
Wednesday 6/7/2023 - Double Play,29,44,55,62,66,7,
Monday 6/5/2023,2,31,45,46,49,20,2
Monday 6/5/2023 - Double Play,3,11,14,37,44,2,
Saturday 6/3/2023,15,45,64,67,68,18,2
Saturday 6/3/2023 - Double Play,8,26,34,58,69,7,
Wednesday 5/31/2023,2,4,54,61,62,14,3
Wednesday 5/31/2023 - Double Play,15,36,61,66,68,23,
Monday 5/29/2023,21,33,35,62,64,24,2
Monday 5/29/2023 - Double Play,5,12,17,46,65,16,
Saturday 5/27/2023,24,38,39,48,56,4,2
Saturday 5/27/2023 - Double Play,21,28,31,48,49,18,
Wednesday 5/24/2023,12,21,44,50,58,26,3
Wednesday 5/24/2023 - Double Play,7,25,29,40,45,12,
Monday 5/22/2023,9,38,48,52,68,25,4
Monday 5/22/2023 - Double Play,14,17,38,39,40,14,
Saturday 5/20/2023,17,23,32,38,63,23,2
Saturday 5/20/2023 - Double Play,19,32,54,55,68,24,
Wednesday 5/17/2023,18,34,37,45,51,14,2
Wednesday 5/17/2023 - Double Play,21,26,37,52,53,26,
Monday 5/15/2023,1,26,28,55,58,25,2
Monday 5/15/2023 - Double Play,13,36,55,56,68,23,
Saturday 5/13/2023,3,15,20,23,46,11,2
Saturday 5/13/2023 - Double Play,23,32,52,58,60,3,
Wednesday 5/10/2023,21,24,33,55,69,3,10
Wednesday 5/10/2023 - Double Play,21,22,24,52,58,3,
Monday 5/8/2023,15,20,33,36,43,12,2
Monday 5/8/2023 - Double Play,4,31,50,53,63,24,
Saturday 5/6/2023,31,39,47,51,53,6,2
Saturday 5/6/2023 - Double Play,1,9,20,21,55,11,
Wednesday 5/3/2023,21,26,30,45,47,23,3
Wednesday 5/3/2023 - Double Play,11,35,57,60,64,22,
Monday 5/1/2023,3,38,55,61,66,1,3
Monday 5/1/2023 - Double Play,14,20,29,33,57,2,
Saturday 4/29/2023,16,53,54,57,65,8,2
Saturday 4/29/2023 - Double Play,3,13,36,50,61,16,
Wednesday 4/26/2023,2,15,30,35,49,6,2
Wednesday 4/26/2023 - Double Play,18,26,31,49,51,18,
Monday 4/24/2023,19,21,55,66,68,3,2
Monday 4/24/2023 - Double Play,9,18,24,30,58,15,
Saturday 4/22/2023,17,36,47,63,68,25,2
Saturday 4/22/2023 - Double Play,9,10,50,62,63,14,
Wednesday 4/19/2023,4,11,21,38,64,11,3
Wednesday 4/19/2023 - Double Play,9,17,22,24,31,5,
Monday 4/17/2023,23,25,35,63,64,25,3
Monday 4/17/2023 - Double Play,5,34,35,58,67,21,
Saturday 4/15/2023,1,33,34,56,59,18,3
Saturday 4/15/2023 - Double Play,4,6,15,19,28,15,
Wednesday 4/12/2023,9,36,41,44,59,4,2
Wednesday 4/12/2023 - Double Play,16,19,32,33,41,19,
Monday 4/10/2023,9,10,36,46,52,14,2
Monday 4/10/2023 - Double Play,6,14,20,24,63,2,
Saturday 4/8/2023,11,22,24,51,60,18,3
Saturday 4/8/2023 - Double Play,15,26,44,49,51,22,
Wednesday 4/5/2023,3,5,9,42,52,11,2
Wednesday 4/5/2023 - Double Play,12,30,46,52,59,1,
Monday 4/3/2023,16,30,31,54,68,1,2
Monday 4/3/2023 - Double Play,5,10,16,30,40,20,
Saturday 4/1/2023,11,19,21,29,52,17,4
Saturday 4/1/2023 - Double Play,3,14,34,56,57,2,
Wednesday 3/29/2023,4,9,24,46,66,7,3
Wednesday 3/29/2023 - Double Play,1,20,39,47,49,23,
Monday 3/27/2023,19,26,36,43,58,14,3
Monday 3/27/2023 - Double Play,7,11,46,49,60,1,
Saturday 3/25/2023,15,17,18,47,57,19,2
Saturday 3/25/2023 - Double Play,18,30,35,42,52,1,
Wednesday 3/22/2023,27,28,37,50,57,5,2
Wednesday 3/22/2023 - Double Play,3,32,58,59,61,15,
Monday 3/20/2023,1,27,32,47,67,14,2
Monday 3/20/2023 - Double Play,2,18,31,59,60,19,
Saturday 3/18/2023,14,20,30,54,69,11,2
Saturday 3/18/2023 - Double Play,21,30,34,57,59,8,
Wednesday 3/15/2023,16,18,33,37,50,8,2
Wednesday 3/15/2023 - Double Play,7,9,46,64,68,3,
Monday 3/13/2023,3,10,24,46,63,4,2
Monday 3/13/2023 - Double Play,5,25,32,38,62,6,
Saturday 3/11/2023,11,20,33,43,58,24,2
Saturday 3/11/2023 - Double Play,7,16,22,36,58,5,
Wednesday 3/8/2023,26,27,43,61,69,4,3
Wednesday 3/8/2023 - Double Play,13,20,29,41,45,19,
Monday 3/6/2023,2,13,29,58,69,4,3
Monday 3/6/2023 - Double Play,10,19,26,47,55,21,
Saturday 3/4/2023,10,16,18,40,66,16,3
Saturday 3/4/2023 - Double Play,17,18,24,36,56,25,
Wednesday 3/1/2023,2,9,28,36,53,4,2
Wednesday 3/1/2023 - Double Play,7,12,16,17,39,22,
Monday 2/27/2023,16,28,49,51,55,23,2
Monday 2/27/2023 - Double Play,8,27,33,34,44,5,
Saturday 2/25/2023,11,24,58,66,67,26,3
Saturday 2/25/2023 - Double Play,4,6,39,60,66,2,
Wednesday 2/22/2023,11,19,39,44,65,7,2
Wednesday 2/22/2023 - Double Play,2,38,53,62,63,2,
Monday 2/20/2023,3,17,26,38,54,15,3
Monday 2/20/2023 - Double Play,2,13,26,51,55,23,
Saturday 2/18/2023,8,21,31,32,37,23,4
Saturday 2/18/2023 - Double Play,4,36,39,44,46,20,
Wednesday 2/15/2023,31,32,54,60,63,12,4
Wednesday 2/15/2023 - Double Play,25,30,44,52,66,22,
Monday 2/13/2023,17,26,37,61,65,2,2
Monday 2/13/2023 - Double Play,12,17,26,61,69,22,
Saturday 2/11/2023,10,23,30,54,65,11,4
Saturday 2/11/2023 - Double Play,45,48,54,60,63,2,
Wednesday 2/8/2023,52,58,59,64,66,9,2
Wednesday 2/8/2023 - Double Play,40,41,57,64,65,21,
Monday 2/6/2023,5,11,22,23,69,7,2
Monday 2/6/2023 - Double Play,14,19,58,59,68,16,
Saturday 2/4/2023,2,8,15,19,58,10,2
Saturday 2/4/2023 - Double Play,6,38,57,58,63,8,
Wednesday 2/1/2023,31,43,58,59,66,9,2
Wednesday 2/1/2023 - Double Play,4,23,39,57,63,26,
Monday 1/30/2023,1,4,12,36,49,5,2
Monday 1/30/2023 - Double Play,3,25,28,42,61,17,
Saturday 1/28/2023,2,18,23,27,47,15,4
Saturday 1/28/2023 - Double Play,47,51,53,62,63,16,
Wednesday 1/25/2023,9,17,20,38,40,18,2
Wednesday 1/25/2023 - Double Play,15,32,35,42,47,23,
Monday 1/23/2023,12,31,47,58,60,23,3
Monday 1/23/2023 - Double Play,6,15,31,45,58,5,
Saturday 1/21/2023,5,14,19,46,64,22,4
Saturday 1/21/2023 - Double Play,1,8,32,37,64,16,
Wednesday 1/18/2023,6,15,22,42,47,26,3
Wednesday 1/18/2023 - Double Play,4,11,14,54,69,16,
Monday 1/16/2023,4,14,33,39,61,3,3
Monday 1/16/2023 - Double Play,37,40,46,54,59,15,
Saturday 1/14/2023,24,26,39,47,57,23,2
Saturday 1/14/2023 - Double Play,17,19,31,33,64,13,
Wednesday 1/11/2023,4,8,46,47,48,5,3
Wednesday 1/11/2023 - Double Play,1,3,11,44,62,6,
Monday 1/9/2023,18,43,48,60,69,14,3
Monday 1/9/2023 - Double Play,19,41,47,53,54,25,
Saturday 1/7/2023,35,36,44,45,67,14,3
Saturday 1/7/2023 - Double Play,10,17,23,29,49,20,
Wednesday 1/4/2023,12,32,56,67,68,26,3
Wednesday 1/4/2023 - Double Play,22,25,32,41,46,23,
Monday 1/2/2023,7,9,12,31,62,22,2
Monday 1/2/2023 - Double Play,11,12,15,33,39,24,
Saturday 12/31/2022,18,37,44,50,64,11,3
Saturday 12/31/2022 - Double Play,1,25,29,54,56,9,
Wednesday 12/28/2022,26,32,38,45,56,1,2
Wednesday 12/28/2022 - Double Play,4,10,14,41,56,16,
Monday 12/26/2022,17,41,47,60,61,17,3
Monday 12/26/2022 - Double Play,1,30,52,54,63,26,
Saturday 12/24/2022,17,37,46,54,67,8,3
Saturday 12/24/2022 - Double Play,5,32,34,38,48,12,
Wednesday 12/21/2022,12,15,24,34,59,14,2
Wednesday 12/21/2022 - Double Play,10,16,25,39,52,23,
Monday 12/19/2022,7,37,55,65,67,12,5
Monday 12/19/2022 - Double Play,18,32,40,65,67,6,
Saturday 12/17/2022,33,56,64,66,68,12,2
Saturday 12/17/2022 - Double Play,6,9,10,19,28,23,
Wednesday 12/14/2022,36,51,59,66,68,25,10
Wednesday 12/14/2022 - Double Play,3,12,24,40,57,19,
Monday 12/12/2022,16,31,50,55,61,9,4
Monday 12/12/2022 - Double Play,28,39,43,63,67,26,
Saturday 12/10/2022,9,23,47,49,68,19,2
Saturday 12/10/2022 - Double Play,1,34,37,40,53,2,
Wednesday 12/7/2022,6,28,44,59,61,21,2
Wednesday 12/7/2022 - Double Play,16,25,26,37,48,16,
Monday 12/5/2022,35,45,47,54,55,14,2
Monday 12/5/2022 - Double Play,15,50,51,53,68,21,
Saturday 12/3/2022,6,13,33,36,37,7,4
Saturday 12/3/2022 - Double Play,4,10,23,43,64,3,
Wednesday 11/30/2022,4,19,24,47,66,10,2
Wednesday 11/30/2022 - Double Play,16,34,41,47,55,23,
Monday 11/28/2022,29,30,32,48,50,20,2
Monday 11/28/2022 - Double Play,1,5,19,47,55,3,
Saturday 11/26/2022,15,30,47,50,51,3,10
Saturday 11/26/2022 - Double Play,1,35,39,41,54,17,
Wednesday 11/23/2022,1,2,31,39,66,25,2
Wednesday 11/23/2022 - Double Play,17,20,54,60,69,22,
Monday 11/21/2022,1,6,40,51,67,2,2
Monday 11/21/2022 - Double Play,8,23,41,49,63,15,
Saturday 11/19/2022,7,28,62,63,64,10,3
Saturday 11/19/2022 - Double Play,19,35,40,62,68,23,
Wednesday 11/16/2022,28,34,51,53,56,11,2
Wednesday 11/16/2022 - Double Play,5,26,41,59,66,11,
Monday 11/14/2022,19,35,53,54,67,21,2
Monday 11/14/2022 - Double Play,1,24,32,63,69,13,
Saturday 11/12/2022,16,20,44,57,58,6,4
Saturday 11/12/2022 - Double Play,8,18,29,44,68,3,
Wednesday 11/9/2022,7,14,24,30,56,7,2
Wednesday 11/9/2022 - Double Play,4,15,31,52,62,16,
Monday 11/7/2022,10,33,41,47,56,10,2
Monday 11/7/2022 - Double Play,1,21,27,29,40,18,
Saturday 11/5/2022,28,45,53,56,69,20,3
Saturday 11/5/2022 - Double Play,4,23,27,31,56,15,
Wednesday 11/2/2022,2,11,22,35,60,23,2
Wednesday 11/2/2022 - Double Play,20,34,37,57,67,26,
Monday 10/31/2022,13,19,36,39,59,13,3
Monday 10/31/2022 - Double Play,9,14,52,57,62,24,
Saturday 10/29/2022,19,31,40,46,57,23,3
Saturday 10/29/2022 - Double Play,9,13,31,35,37,1,
Wednesday 10/26/2022,19,36,37,46,56,24,2
Wednesday 10/26/2022 - Double Play,5,36,38,39,54,19,
Monday 10/24/2022,18,23,35,45,54,16,4
Monday 10/24/2022 - Double Play,12,48,51,63,67,26,
Saturday 10/22/2022,19,25,48,55,60,18,2
Saturday 10/22/2022 - Double Play,9,21,30,49,51,3,
Wednesday 10/19/2022,6,8,15,27,42,10,3
Wednesday 10/19/2022 - Double Play,4,24,32,55,59,13,
Monday 10/17/2022,19,30,36,46,60,25,3
Monday 10/17/2022 - Double Play,29,35,36,40,52,18,
Saturday 10/15/2022,32,37,40,58,62,15,5
Saturday 10/15/2022 - Double Play,6,19,32,48,50,1,
Wednesday 10/12/2022,14,30,41,42,59,6,5
Wednesday 10/12/2022 - Double Play,4,22,36,39,64,14,
Monday 10/10/2022,3,6,11,17,22,11,2
Monday 10/10/2022 - Double Play,4,24,35,52,62,10,
Saturday 10/8/2022,13,43,53,60,68,5,2
Saturday 10/8/2022 - Double Play,3,33,46,63,68,17,
Wednesday 10/5/2022,26,30,33,37,62,6,2
Wednesday 10/5/2022 - Double Play,17,23,24,36,61,16,
Monday 10/3/2022,2,16,22,55,63,22,4
Monday 10/3/2022 - Double Play,4,5,50,66,67,15,
Saturday 10/1/2022,8,21,22,65,69,26,2
Saturday 10/1/2022 - Double Play,1,24,43,53,63,18,
Wednesday 9/28/2022,6,10,24,33,67,11,3
Wednesday 9/28/2022 - Double Play,14,24,34,56,60,8,
Monday 9/26/2022,13,20,31,33,59,20,3
Monday 9/26/2022 - Double Play,7,15,39,54,59,11,
Saturday 9/24/2022,3,9,21,24,29,14,2
Saturday 9/24/2022 - Double Play,15,30,38,46,66,25,
Wednesday 9/21/2022,6,33,34,45,54,7,2
Wednesday 9/21/2022 - Double Play,18,28,39,47,49,16,
Monday 9/19/2022,7,15,36,46,67,7,2
Monday 9/19/2022 - Double Play,7,11,23,27,38,4,
Saturday 9/17/2022,5,25,36,51,61,1,3
Saturday 9/17/2022 - Double Play,9,23,37,41,55,1,
Wednesday 9/14/2022,9,10,20,22,52,25,3
Wednesday 9/14/2022 - Double Play,15,16,17,23,29,5,
Monday 9/12/2022,6,14,16,34,66,25,3
Monday 9/12/2022 - Double Play,1,16,19,48,60,11,
Saturday 9/10/2022,38,42,56,68,69,4,2
Saturday 9/10/2022 - Double Play,25,30,34,55,56,26,
Wednesday 9/7/2022,3,16,30,33,36,20,3
Wednesday 9/7/2022 - Double Play,4,26,28,29,42,10,
Monday 9/5/2022,4,7,32,55,64,25,2
Monday 9/5/2022 - Double Play,10,31,48,50,68,7,
Saturday 9/3/2022,18,27,49,65,69,9,2
Saturday 9/3/2022 - Double Play,4,9,15,33,46,21,
Wednesday 8/31/2022,7,8,19,24,28,1,2
Wednesday 8/31/2022 - Double Play,7,15,21,41,56,16,
Monday 8/29/2022,13,36,43,61,69,18,3
Monday 8/29/2022 - Double Play,25,27,51,52,58,1,
Saturday 8/27/2022,2,18,56,60,65,14,3
Saturday 8/27/2022 - Double Play,16,18,43,49,51,6,
Wednesday 8/24/2022,6,24,35,37,44,22,4
Wednesday 8/24/2022 - Double Play,14,30,38,52,62,24,
Monday 8/22/2022,12,27,34,55,67,9,2
Monday 8/22/2022 - Double Play,42,50,59,61,64,21,
Saturday 8/20/2022,5,9,11,16,66,7,2
Saturday 8/20/2022 - Double Play,14,19,36,39,65,25,
Wednesday 8/17/2022,23,28,41,50,55,24,2
Wednesday 8/17/2022 - Double Play,15,16,36,53,61,14,
