DrawDate,1,2,3,4,5,PB,PP*
Saturday 5/24/2025 - Double Play,25,29,50,64,65,3,
Wednesday 5/21/2025,9,29,31,34,43,2,2
Wednesday 5/21/2025 - Double Play,4,9,21,37,56,2,
Monday 5/19/2025,13,14,37,50,60,11,2
Monday 5/19/2025 - Double Play,11,12,27,30,35,7,
Saturday 5/17/2025,7,34,40,42,52,15,2
Saturday 5/17/2025 - Double Play,14,18,31,34,37,17,
Wednesday 5/14/2025,4,10,24,29,53,4,3
Wednesday 5/14/2025 - Double Play,2,44,55,56,67,5,
Monday 5/12/2025,15,16,41,48,60,21,3
Monday 5/12/2025 - Double Play,23,45,53,54,57,18,
Saturday 5/10/2025,5,20,28,39,42,13,2
Saturday 5/10/2025 - Double Play,24,36,43,47,69,22,
Wednesday 5/7/2025,14,15,30,40,59,20,3
Wednesday 5/7/2025 - Double Play,9,31,32,50,57,14,
Monday 5/5/2025,16,34,40,45,66,19,2
Monday 5/5/2025 - Double Play,21,26,28,62,63,1,
Saturday 5/3/2025,10,21,23,35,65,24,2
Saturday 5/3/2025 - Double Play,14,23,33,38,60,3,
Wednesday 4/30/2025,1,2,3,57,59,9,2
Wednesday 4/30/2025 - Double Play,1,34,38,60,65,9,
Monday 4/28/2025,26,43,51,56,60,24,4
Monday 4/28/2025 - Double Play,11,13,39,48,61,3,
Saturday 4/26/2025,1,12,14,18,69,2,3
Saturday 4/26/2025 - Double Play,12,20,26,38,40,5,
Wednesday 4/23/2025,15,44,63,66,69,20,2
Wednesday 4/23/2025 - Double Play,37,42,49,54,66,26,
Monday 4/21/2025,4,33,45,46,51,25,3
Monday 4/21/2025 - Double Play,18,23,34,35,67,13,
Saturday 4/19/2025,7,25,37,39,63,1,3
Saturday 4/19/2025 - Double Play,2,3,21,55,63,12,
Wednesday 4/16/2025,20,24,42,43,49,19,3
Wednesday 4/16/2025 - Double Play,7,36,40,47,59,9,
Monday 4/14/2025,3,20,30,52,62,1,3
Monday 4/14/2025 - Double Play,9,18,41,42,63,4,
Saturday 4/12/2025,16,22,44,45,53,19,2
